# AmberClassic 8e55e97ada48b96eefaec2e6a3fa849018aaeea5; bondtype -j part; atomtype -d bundled ATOMTYPE_GFF2.DEF -a 1
# name	smiles	elements	bonds (zero-based a,b,order)	expected types
methylphosphonium	C[P+](C)(C)C	C,P,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H	0,1,1;1,2,1;1,3,1;1,4,1;0,5,1;0,6,1;0,7,1;2,8,1;2,9,1;2,10,1;3,11,1;3,12,1;3,13,1;4,14,1;4,15,1;4,16,1	c3,p5,c3,c3,c3,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc
carbonate	O=C([O-])[O-]	O,C,O,O	0,1,2;1,2,1;1,3,1	o,c,o,o
oxalate	O=C([O-])C(=O)[O-]	O,C,O,C,O,O	0,1,2;1,2,1;1,3,1;3,4,2;3,5,1	o,c,o,c,o,o
betaine	C[N+](C)(C)CC(=O)[O-]	C,N,C,C,C,C,O,O,H,H,H,H,H,H,H,H,H,H,H	0,1,1;1,2,1;1,3,1;1,4,1;4,5,1;5,6,2;5,7,1;0,8,1;0,9,1;0,10,1;2,11,1;2,12,1;2,13,1;3,14,1;3,15,1;3,16,1;4,17,1;4,18,1	c3,n4,c3,c3,c3,c,o,o,hx,hx,hx,hx,hx,hx,hx,hx,hx,hx,hx
cycloheptatriene	C1=CC=CC=CC1	C,C,C,C,C,C,C,H,H,H,H,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,2;5,6,1;6,0,1;0,7,1;1,8,1;2,9,1;3,10,1;4,11,1;5,12,1;6,13,1;6,14,1	c2,ce,ce,cf,cf,c2,c3,ha,ha,ha,ha,ha,ha,hc,hc
cyclooctatetraene	C1=CC=CC=CC=C1	C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,2;5,6,1;6,7,2;7,0,1;0,8,1;1,9,1;2,10,1;3,11,1;4,12,1;5,13,1;6,14,1;7,15,1	cc,cd,cd,cc,cc,cd,cd,cc,ha,ha,ha,ha,ha,ha,ha,ha
quinoline	c1ccc2ncccc2c1	C,C,C,C,N,C,C,C,C,C,H,H,H,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,2;5,6,1;6,7,2;7,8,1;8,9,2;9,0,1;8,3,1;0,10,1;1,11,1;2,12,1;5,13,1;6,14,1;7,15,1;9,16,1	ca,ca,ca,ca,nb,ca,ca,ca,ca,ca,ha,ha,ha,h4,ha,ha,ha
benzimidazole	c1ccc2[nH]cnc2c1	C,C,C,C,N,C,N,C,C,H,H,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,1;5,6,2;6,7,1;7,8,2;8,0,1;7,3,1;0,9,1;1,10,1;2,11,1;4,12,1;5,13,1;8,14,1	ca,ca,ca,ca,na,cc,nd,ca,ca,ha,ha,ha,hn,h5,ha
phenylacetylene	C#Cc1ccccc1	C,C,C,C,C,C,C,C,H,H,H,H,H,H	0,1,3;1,2,1;2,3,2;3,4,1;4,5,2;5,6,1;6,7,2;7,2,1;0,8,1;3,9,1;4,10,1;5,11,1;6,12,1;7,13,1	c1,cg,ca,ca,ca,ca,ca,ca,ha,ha,ha,ha,ha,ha
butadiyne	C#CC#C	C,C,C,C,H,H	0,1,3;1,2,1;2,3,3;0,4,1;3,5,1	c1,cg,cg,c1,ha,ha
